A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;E1;E2;E3;E4;E5;N1;N2;N3;N4;N5;O1;O2;O3;O4;O5;gender;education;age
6;6;5;6;5;6;6;6;1;3;2;1;6;5;6;3;5;2;2;3;4;3;5;6;1;2;3;21
4;3;1;5;1;3;2;4;2;4;3;6;4;2;1;6;3;2;6;4;3;2;4;5;3;1;2;19
4;4;5;6;5;4;3;5;3;2;1;3;2;5;4;3;3;4;2;3;5;3;5;6;3;1;1;21
4;5;2;2;1;5;5;5;2;2;3;4;3;6;5;2;4;2;2;3;5;2;5;5;5;1;1;17
1;5;6;5;6;4;3;2;4;5;2;1;2;5;2;2;2;2;2;2;6;1;5;5;2;1;5;68
2;6;5;6;5;3;5;6;3;6;2;2;4;6;6;4;4;4;6;6;6;1;5;6;1;2;2;27
4;5;5;6;5;5;5;4;1;1;3;2;5;5;6;2;3;3;1;1;6;2;5;6;2;1;1;18
1;6;6;1;6;5;2;5;1;1;1;1;6;6;6;2;3;1;2;1;6;4;5;5;3;2;3;20
2;4;4;4;3;6;5;6;1;1;2;4;4;2;6;3;3;5;3;2;5;2;6;6;1;2;5;51
2;5;1;3;5;5;4;5;2;5;1;2;6;5;4;1;4;2;2;5;2;4;5;4;1;2;3;33
4;5;6;5;5;5;5;3;5;4;1;2;6;5;5;5;4;4;3;1;4;4;6;5;1;2;3;18
2;5;6;6;6;5;5;5;2;4;1;2;4;5;5;3;2;4;1;2;5;2;5;5;2;2;3;41
1;5;6;5;4;1;5;6;4;6;6;6;2;1;1;1;2;1;3;6;6;6;5;6;1;1;5;23
5;3;5;4;2;2;2;4;3;4;3;4;3;2;3;5;3;4;4;3;4;5;4;4;3;1;3;23
1;6;4;6;4;5;6;3;1;5;6;6;3;2;2;2;2;2;4;1;5;5;4;5;3;1;3;20
1;4;4;2;3;6;5;6;3;4;3;4;3;3;5;5;6;5;5;4;5;5;4;5;2;1;3;21
1;5;4;3;5;6;5;5;2;2;3;2;3;6;5;1;2;1;2;1;5;1;6;6;1;2;5;48
